gene_name	moduleColor
ARSL	magenta
ART5	pink
ARVCF	blue
ASAP1	blue
ASB13	blue
ASL	blue
ASMTL	blue
ASPH	blue
ASPN	magenta
ASPRV1	blue
ASTL	blue
ATAD3C	blue
ATF6B	blue
ATG101	blue
ATG2A	blue
ATG4D	blue
ATIC	pink
ATN1	blue
ATOH8	pink
ATOX1	blue
ATP10A	magenta
ATP11A	blue
ATP11B	blue
ATP11C	blue
ATP13A1	blue
ATP13A2	blue
ATP1A2	pink
ATP1B2	pink
ATP5F1D	blue
ATP5IF1	blue
ATP5MC2	blue
ATP6V0E2	blue
ATP8B2	pink
ATRIP	blue
AURKAIP1	blue
AURKC	blue
AVPR1A	pink
AVPR2	pink
AXIN1	blue
AXL	magenta
AZU1	blue
B3GALT1	pink
B3GALT4	blue
B3GALT6	blue
B3GAT3	blue
B3GNT8	blue
B3GNT9	magenta
B4GALNT4	blue
B4GALT5	blue
B4GALT7	blue
B4GAT1	blue
B9D1	blue
B9D2	blue
BABAM1	blue
BACE1	magenta
BAD	blue
BAG1	blue
BAHD1	blue
BAIAP3	blue
BAP1	blue
BATF	blue
BAX	blue
BBC3	blue
BBS5	blue
BCAM	blue
BCAR1	blue
BCAT1	blue
BCAT2	blue
BCKDK	blue
BCL2L1	blue
BCL6B	pink
BCL7C	blue
BCS1L	blue
BDH1	blue
BDH2	pink
BEAN1	magenta
BET1L	blue
BGN	magenta
BICC1	magenta
BICDL2	blue
BICRA	blue
BICRAL	blue
BLOC1S3	pink
BLOC1S4	blue
BLVRB	blue
BMP1	magenta
BMP8A	magenta
BMX	pink
BNC2	magenta
BOD1	blue
BOK	blue
BORCS6	blue
BRAT1	blue
BRD9	blue
BRF1	blue
BRICD5	blue
BTBD11	pink
BTBD19	magenta
BTBD2	blue
BTBD6	blue
BVES	blue
BX255925.3	blue
C11orf49	blue
C11orf96	pink
C12orf43	blue
C12orf73	magenta
C14orf119	blue
C14orf93	blue
C16orf74	blue
C16orf86	blue
C16orf91	blue
C17orf113	blue
C19orf18	blue
C19orf25	blue
C19orf53	blue
C19orf54	blue
C19orf57	blue
C1QTNF2	pink
C1QTNF3	magenta
C1QTNF4	pink
C1QTNF5	magenta
C1QTNF6	magenta
