gene_name	moduleColor
NFKBIL1	blue
NFU1	blue
NGDN	blue
NGF	pink
NGFR	pink
NHP2	blue
NHS	magenta
NHSL2	pink
NID1	magenta
NID2	magenta
NINJ1	blue
NINJ2	magenta
NIPSNAP3B	pink
NKAIN2	pink
NKAPL	pink
NKD1	pink
NKD2	magenta
NKX3-2	magenta
NLGN2	magenta
NLGN3	pink
NLRP6	blue
NLRX1	blue
NME3	blue
NME4	blue
NMRAL1	blue
NNMT	magenta
NOC2L	blue
NOC4L	blue
NOL3	blue
NOS3	pink
NOSIP	blue
NOTCH4	pink
NOVA2	pink
NOX4	magenta
NOXA1	blue
NPAS1	blue
NPC1	blue
NPDC1	blue
NPR1	pink
NPRL2	blue
NPRL3	blue
NPTX2	magenta
NPY2R	pink
NR1H2	blue
NR2C2AP	blue
NR2F1	pink
NR2F6	blue
NR3C2	pink
NR4A1	pink
NR5A2	pink
NREP	magenta
NRG1	magenta
NRIP2	pink
NRK	magenta
NRL	blue
NRP1	pink
NRSN2	blue
NRXN2	pink
NSG1	pink
NSMCE1	blue
NSMCE2	floralwhite
NSUN5	blue
NT5C2	blue
NTAQ1	floralwhite
NTF4	pink
NTHL1	blue
NTM	magenta
NUAK1	magenta
NUBP2	blue
NUCB1	blue
NUDC	blue
NUDCD1	floralwhite
NUDT10	magenta
NUDT14	blue
NUDT16L1	blue
NUDT2	blue
NUDT22	blue
NUP37	pink
NUPR1	blue
OAZ1	blue
OBSL1	blue
OCEL1	blue
ODF3L1	pink
OGFR	blue
OGG1	blue
OGN	pink
OLFML1	magenta
OLFML2A	magenta
OLFML2B	magenta
OLFML3	magenta
OMD	magenta
OPN4	pink
OPRPN	pink
OR2L13	pink
ORAI3	blue
OSBPL5	blue
OSBPL7	blue
OSGEP	blue
OSMR	magenta
OTUD5	blue
OVCH2	pink
OVOL2	blue
OXA1L	blue
OXCT1	blue
OXT	magenta
OXTR	pink
P2RX4	blue
P2RY11	blue
P3H1	magenta
P3H3	magenta
P3H4	blue
P4HA1	blue
P4HA3	magenta
P4HTM	blue
PABPC1	floralwhite
PABPC3	floralwhite
PACS2	blue
PACSIN3	blue
PAF1	blue
PAGR1	blue
PAK4	blue
PAK5	pink
PALLD	magenta
PALM	blue
PALM3	blue
PALMD	pink
PAMR1	pink
PANK4	blue
PAQR7	blue
PARD6A	blue
PARD6G	pink
PARK7	blue
PARVA	magenta
PAXX	blue
PBXIP1	blue
PC	blue
PCDH12	pink
PCDH17	magenta
PCDH18	pink
PCDH7	magenta
PCDHB4	pink
PCDHGA12	magenta
PCDHGA9	pink
PCDHGB7	pink
PCDHGC3	pink
PCED1A	blue
PCIF1	blue
PCK2	blue
PCNX3	blue
PCOLCE	magenta
PCP2	blue
PCSK4	blue
PCSK5	pink
PDE10A	blue
PDE1A	pink
PDE1C	pink
PDE2A	pink
PDE3A	pink
PDE7B	pink
PDF	blue
PDGFA	pink
PDGFD	pink
PDGFRA	magenta
PDGFRB	magenta
PDGFRL	magenta
PDIA3	pink
PDK4	pink
PDLIM4	magenta
PDLIM7	magenta
PDPN	magenta
PDRG1	blue
PDZD2	pink
PDZD3	blue
PDZRN3	pink
PEAK1	pink
PEAR1	pink
PECAM1	pink
PEF1	blue
PELI2	pink
PELI3	blue
PENK	pink
PER1	pink
PERM1	blue
PEX10	blue
PEX11G	blue
PEX14	blue
PEX16	blue
PEX6	blue
PFDN1	blue
PFDN4	floralwhite
PGAP2	magenta
PGAP4	pink
PGAP6	blue
PGF	pink
PGLS	blue
PGM2L1	magenta
PGM5	pink
PGP	blue
PHACTR1	blue
PHB2	blue
PHETA1	blue
PHF1	blue
PHKG2	blue
PHLDA3	blue
PHLDB1	magenta
PHLDB3	blue
PHPT1	blue
PHRF1	blue
PHYHIP	pink
PI16	pink
PIAS4	blue
PICALM	blue
PIGQ	blue
PIGU	pink
PIGZ	blue
PIH1D1	blue
PIN1	blue
PINLYP	pink
PIP4P1	blue
PIP5K1C	blue
PIP5KL1	blue
PISD	blue
PITHD1	blue
PITX3	magenta
PKD2	pink
PKDCC	pink
PKIG	blue
PKN1	blue
PKN3	pink
PKP3	blue
PLA2G5	magenta
PLAA	blue
PLAC9	pink
PLBD2	blue
PLCB3	blue
PLCD1	blue
PLCD3	magenta
PLCXD3	pink
PLEKHG3	blue
PLEKHG5	blue
PLEKHH2	pink
PLEKHH3	blue
PLEKHJ1	blue
PLEKHM3	blue
PLEKHN1	blue
PLIN3	blue
PLN	magenta
PLOD2	blue
PLPP1	pink
PLPP2	blue
PLPP3	pink
PLPP4	magenta
PLPP7	magenta
PLPPR2	blue
PLPPR4	pink
PLPPR5	magenta
PLSCR4	pink
PLVAP	pink
PLXDC1	magenta
PLXDC2	magenta
PLXNA3	blue
PLXNC1	magenta
PMEPA1	magenta
PMP22	magenta
PMVK	blue
PNKP	blue
PNMA2	pink
PNMA8B	pink
PNMA8C	pink
PNPLA2	blue
PNPLA6	blue
PNPLA7	blue
PODN	magenta
PODNL1	magenta
POGLUT3	blue
POLD4	blue
POLL	blue
POLR2E	blue
POLR2G	blue
POLR2K	floralwhite
POLR2L	blue
POLR3K	blue
POLRMT	blue
POMGNT1	blue
POP4	pink
POPDC2	pink
PORCN	blue
POSTN	magenta
POU6F1	pink
PPAN	blue
PPCDC	blue
PPEF1	magenta
PPFIA3	blue
PPIC	magenta
PPM1J	blue
PPM1L	blue
PPOX	blue
PPP1CA	blue
PPP1R12B	pink
PPP1R12C	blue
PPP1R13L	blue
PPP1R14A	pink
PPP1R26	blue
PPP1R35	blue
PPP1R37	blue
PPP1R3F	blue
PPP1R3G	magenta
PPP1R7	blue
PPP2R1A	blue
PPP2R5B	blue
PPP3CA	blue
PPP4C	blue
PPP5C	blue
PPT2	blue
PQBP1	blue
PRAG1	pink
PRDM16	pink
PRDM5	pink
PRDM6	magenta
PRDX1	floralwhite
PRDX2	blue
PRELP	pink
PREX2	pink
PRICKLE2	magenta
PRICKLE3	blue
PRKAR1B	blue
PRKCSH	blue
PRKCZ	blue
PRKD1	magenta
PRKG1	magenta
PRKG2	magenta
PRKN	pink
PRKRIP1	blue
PRLH	blue
PRND	pink
PROCR	pink
PROS1	pink
PRPF19	blue
PRPF31	blue
PRPF6	blue
PRPH2	magenta
PRR14	blue
PRR36	blue
PRR5L	magenta
PRRG2	blue
PRRG3	pink
PRRT1	blue
PRRX1	magenta
PRRX2	magenta
PRSS22	blue
PRSS35	pink
PRSS36	blue
PRSS8	blue
PRTN3	blue
PRX	blue
PRXL2B	blue
PSMC4	pink
PSMD13	blue
PSMD8	pink
PSME1	blue
PSPN	blue
PTBP1	blue
PTCH2	pink
PTDSS1	floralwhite
PTDSS2	blue
PTGER1	blue
PTGFRN	magenta
PTH1R	magenta
PTN	pink
PTOV1	blue
PTPN18	blue
PTPN21	magenta
PTPN23	blue
PTPN5	pink
PTPRB	pink
PTPRD	magenta
PTPRM	pink
PURG	pink
PUSL1	blue
PWWP2B	blue
PWWP3A	blue
PXDN	magenta
PYCARD	blue
PYM1	blue
PYY	blue
QARS1	blue
QTRT1	blue
R3HCC1	blue
RAB11B	blue
RAB11FIP3	blue
RAB17	blue
RAB1B	blue
RAB23	blue
RAB24	blue
RAB26	blue
RAB31	magenta
RAB3IL1	magenta
RAB40C	blue
RAB44	pink
RAB5C	blue
RAB5IF	blue
RAB9B	blue
RABAC1	blue
RABEP2	blue
RABGGTA	blue
RAD23A	blue
RAD54B	floralwhite
RAD9A	blue
RAI14	blue
RAMP1	blue
RAMP2	pink
RANBP3	blue
RAP2A	blue
RARRES2	magenta
RASA4B	blue
RASAL2	blue
RASD1	pink
RASGRF2	magenta
RASIP1	pink
RASL10A	blue
RASL11B	magenta
RASL12	pink
RASSF7	blue
RASSF9	pink
RBBP8NL	blue
RBCK1	blue
RBIS	floralwhite
RBM10	blue
RBM15B	blue
RBM42	blue
RBMS2	pink
RBMS3	pink
RBP7	pink
RCAN2	pink
RCE1	blue
RCN3	magenta
RCVRN	pink
RD3	pink
RECK	magenta
RELA	blue
RELL2	blue
RELN	pink
REPIN1	blue
RER1	blue
RERGL	pink
REX1BD	blue
REXO1	blue
RFC5	pink
RFTN2	pink
RFX1	blue
RFX8	magenta
RFXANK	blue
RGL2	blue
RGS11	blue
RGS12	blue
RGS3	pink
RGS4	magenta
RGS5	pink
RGS7BP	blue
RHBDF1	blue
RHBDL1	blue
RHNO1	magenta
RHOD	blue
RHOJ	pink
RHOT2	blue
RHOU	pink
RHOXF1	blue
RIC8A	blue
RIDA	floralwhite
RIN2	magenta
RING1	blue
RIOX2	blue
RITA1	blue
RMDN2	pink
RNASE7	pink
RNASEH2C	blue
RNF10	blue
RNF126	blue
RNF180	pink
RNF208	blue
RNF223	blue
RNF25	blue
RNH1	blue
RNPEPL1	blue
RNPS1	blue
ROBO4	pink
ROCK2	blue
ROGDI	blue
ROM1	blue
ROR2	magenta
RPA2	blue
RPL17	blue
RPL36AL	blue
RPN1	pink
RPN2	pink
RPS6KA2	pink
RPS6KB2	blue
RPS6KL1	blue
RPUSD1	blue
RPUSD2	blue
RRP9	blue
RTL3	pink
RTN2	blue
RTRAF	blue
RUFY1	blue
RUNDC3B	pink
RUNX1	magenta
RUNX1T1	pink
RUNX2	magenta
RUSC2	magenta
RUVBL2	blue
RXFP3	magenta
RXRB	blue
S1PR1	pink
SAC3D1	blue
SAE1	pink
SAFB	blue
SAFB2	blue
SALL1	magenta
SALL4	magenta
SAMD10	blue
SAMD5	pink
SAP18	blue
SARDH	blue
SART1	blue
SASH1	pink
SBK3	pink
SBNO2	blue
SCAF1	blue
SCAMP4	blue
SCAND1	blue
SCAP	blue
SCARA5	pink
SCARF1	pink
SCARF2	magenta
SCG5	magenta
SCN11A	pink
SCN1B	blue
SCN2B	pink
SCN4B	pink
SCN7A	pink
SCRN2	blue
SCT	magenta
SCYL1	blue
SDF2	blue
SDF4	blue
SDHAF1	blue
SDHB	blue
SDSL	blue
SEC11C	magenta
SEC13	blue
SEC61A1	pink
SELENOH	blue
SELENOM	blue
SELENOP	pink
SELP	pink
SEMA3B	blue
SEMA3D	magenta
SEMA3G	pink
SEMA4C	blue
SEMA5A	pink
SEMA6A	pink
SEMA6B	pink
SEPTIN11	magenta
SEPTIN4	pink
SERINC2	blue
SERPINE1	magenta
SERPINF1	magenta
SERTAD1	blue
SERTAD3	blue
SESN1	pink
SESN2	blue
SETD1A	blue
SF1	blue
SF3A2	blue
SF3B2	blue
SFRP2	magenta
SFRP4	magenta
SFXN4	magenta
SGCA	pink
SGCD	magenta
SGF29	blue
SGIP1	magenta
SGMS2	blue
SGTA	blue
SH2B1	blue
SH2D3A	blue
SH2D3C	pink
SH3BGRL2	pink
SH3GLB1	blue
SH3GLB2	blue
SH3PXD2A	magenta
SH3RF3	magenta
SHANK1	magenta
SHANK3	pink
SHE	pink
SHF	pink
SHISA2	magenta
SHISA4	blue
SHISA5	blue
SHISA6	magenta
SHROOM4	pink
SIGIRR	blue
SIGLEC6	pink
SIL1	blue
SIRT3	blue
SIRT5	magenta
SIRT6	blue
SIVA1	blue
SIX5	blue
SKIV2L	blue
SLC12A4	magenta
SLC12A9	blue
SLC16A11	blue
SLC16A12	pink
SLC16A4	pink
SLC16A5	blue
SLC17A7	pink
SLC18A2	pink
SLC19A1	blue
SLC1A7	magenta
SLC22A11	pink
SLC22A18	blue
SLC24A2	magenta
SLC25A22	blue
SLC25A38	blue
SLC25A4	blue
SLC25A42	blue
SLC26A2	blue
SLC27A3	blue
SLC2A4RG	blue
SLC35B3	blue
SLC35C2	blue
SLC35G2	pink
SLC38A4	magenta
SLC39A13	blue
SLC39A3	blue
SLC39A7	blue
SLC45A1	blue
SLC5A4	pink
SLC66A1	blue
SLC66A2	blue
SLC6A1	magenta
SLC7A3	pink
SLC7A6	blue
SLC8A3	pink
SLC9A3R2	blue
SLCO1C1	pink
SLCO2A1	pink
SLIT2	pink
SLIT3	pink
SMAD7	magenta
SMAD9	pink
SMARCA4	blue
SMARCD3	blue
SMDT1	blue
SMG9	blue
SMIM1	blue
SMIM10	magenta
SMIM10L1	pink
SMIM10L2A	pink
SMIM22	blue
SMIM29	blue
SMIM3	magenta
SMS	floralwhite
SMUG1	blue
SMURF1	blue
SMURF2	blue
SMYD1	pink
SNAPC2	blue
SNCA	pink
SNED1	magenta
SNRNP25	blue
SNRNP35	blue
SNRPA	blue
SNRPB	blue
SNTA1	blue
SNTB1	blue
SNX17	blue
SNX21	blue
SOAT1	blue
SOCS2	pink
SORCS2	magenta
SOS1	blue
SOX12	blue
SOX17	pink
SOX18	pink
SOX7	pink
SPACA4	blue
SPAG4	pink
SPARC	magenta
SPARCL1	pink
SPATA2L	blue
SPCS1	blue
SPECC1	blue
SPHK2	blue
SPIN2B	blue
SPINT1	pink
SPINT2	blue
SPOCK1	magenta
SPON1	magenta
SPON2	magenta
SPPL2B	blue
SPRY1	pink
SPRY2	pink
SPRY4	pink
SPRYD4	blue
SPSB2	blue
SPSB3	blue
SQLE	floralwhite
SQOR	blue
SQSTM1	blue
SRA1	blue
SRL	pink
SRP14	blue
SRPRB	pink
SRPX	magenta
SRPX2	magenta
SRRT	blue
SRSF9	blue
SSBP4	blue
SSC5D	magenta
SSH3	blue
SSNA1	blue
SSR3	blue
SSU72	blue
ST6GAL2	magenta
ST6GALNAC3	pink
ST8SIA2	pink
STAB2	pink
STAP2	blue
STARD8	pink
STARD9	pink
STBD1	blue
STK11	blue
STK11IP	blue
STK16	blue
STK19	blue
STK25	blue
STK32C	blue
STK38L	blue
STMN2	magenta
STOML1	blue
STRN4	blue
STUB1	blue
STX10	blue
STX2	magenta
STX4	blue
STX5	blue
STXBP2	blue
SUGCT	magenta
SUGP1	blue
SULF1	magenta
SULF2	magenta
SULT1A1	blue
SULT1A2	blue
SUPT20HL1	magenta
SUPT5H	blue
SURF1	blue
SURF2	blue
SUSD5	blue
SVEP1	pink
SWSAP1	blue
SYCE1L	blue
SYCE3	blue
SYDE1	magenta
SYF2	blue
SYMPK	blue
SYN2	pink
SYNDIG1	magenta
SYNE4	blue
SYNPO	pink
SYNPO2	pink
SYPL2	pink
SYTL1	blue
SZRD1	blue
TAC1	pink
TACC1	pink
TADA3	blue
TAF12	blue
TAF15	blue
TAF6L	blue
TAGLN	magenta
TAL1	pink
TAMALIN	pink
TAOK2	blue
TARBP2	blue
TATDN1	floralwhite
TAX1BP3	blue
TBC1D10B	blue
TBC1D17	blue
TBC1D25	blue
TBCB	blue
TBKBP1	blue
TBL3	blue
TBX15	pink
TBX18	magenta
TBX2	pink
TBX5	magenta
TBX6	blue
TBXA2R	pink
TCEA2	blue
TCEA3	blue
TCEAL5	pink
TCEAL7	pink
TCF4	magenta
TCN1	pink
TCP11L1	blue
TCTEX1D1	pink
TDGF1	pink
TDRD10	pink
TEC	blue
TEDC1	blue
TEDC2	blue
TEK	pink
TEKT5	blue
TELO2	blue
TENM2	pink
TENM3	magenta
TENM4	magenta
TEPP	pink
TESC	pink
TESK1	blue
TEX264	blue
TFAP4	blue
TFPI	pink
TFPT	blue
TFR2	pink
TGFB1I1	magenta
TGFB3	magenta
TGFBR1	blue
TGFBR2	pink
TGFBR3	pink
TGFBR3L	blue
THAP3	blue
THAP4	blue
THAP8	blue
THBD	pink
THBS2	magenta
THBS4	pink
THNSL2	blue
THOC6	blue
THOP1	blue
THSD1	pink
THSD7A	pink
THSD7B	pink
THY1	magenta
TICAM1	blue
TIE1	pink
TIGD3	blue
TIMM13	blue
TIMM29	blue
TIMM44	blue
TIMM50	pink
TIMM9	blue
TIMP2	magenta
TIMP3	magenta
TK2	pink
TKFC	blue
TLE2	blue
TLE5	blue
TLE6	blue
TLL1	pink
TLL2	magenta
TM6SF2	magenta
TM7SF2	blue
TMC4	blue
TMCO4	blue
TMDD1	blue
TMED1	blue
TMED6	blue
TMED9	blue
TMEM101	blue
TMEM115	blue
TMEM119	magenta
TMEM120B	magenta
TMEM121	blue
TMEM125	blue
TMEM129	blue
TMEM130	magenta
TMEM131L	blue
TMEM134	blue
TMEM141	blue
TMEM143	blue
TMEM147	pink
TMEM160	blue
TMEM161A	blue
TMEM169	blue
TMEM175	blue
TMEM178A	pink
TMEM179B	blue
TMEM184A	blue
TMEM187	blue
TMEM204	magenta
TMEM205	blue
TMEM219	blue
TMEM220	pink
TMEM221	blue
TMEM222	blue
TMEM233	pink
TMEM238	blue
TMEM240	blue
TMEM244	magenta
TMEM251	blue
TMEM252	pink
TMEM255B	pink
TMEM259	blue
TMEM47	pink
TMEM59L	magenta
TMEM60	blue
TMEM70	floralwhite
TMEM80	blue
TMEM88	pink
TMEM88B	blue
TMEM91	blue
TMTC1	pink
TMUB1	blue
TMUB2	blue
TMX2	magenta
TNFAIP6	magenta
TNFRSF18	blue
TNFRSF19	magenta
TNFSF15	blue
TNFSF4	magenta
TNIP2	blue
TNKS1BP1	blue
TNN	pink
TNNT1	blue
TNPO2	blue
TNS1	pink
TNS4	pink
TNXB	pink
TOLLIP	blue
TOPORS	blue
TP53AIP1	pink
TP53I13	blue
TP63	pink
TP73	blue
TPGS1	blue
TPI1	pink
TPM1	magenta
TPM2	magenta
TPRG1L	blue
TPRN	blue
TPSAB1	pink
TPSB2	pink
TRABD2B	pink
TRAM2	magenta
TRAPPC5	blue
TRAPPC6A	blue
TRIM11	blue
TRIM28	blue
TRIM41	blue
TRIM6	pink
TRIM8	blue
TRIP6	blue
TRIR	blue
TRMT1	blue
TRMT12	floralwhite
TRMT61A	blue
TRMT9B	pink
TRO	magenta
TRPC1	pink
TRPC3	pink
TRPC4	pink
TRPC6	pink
TRPM4	blue
TSACC	pink
TSC22D4	blue
TSEN34	blue
TSHZ2	pink
TSHZ3	magenta
TSLP	pink
TSNAXIP1	blue
TSPAN10	blue
TSPAN11	pink
TSPAN18	magenta
TSPAN7	pink
TSR2	blue
TSR3	blue
TSSC4	blue
TSTD1	blue
TTC1	blue
TTC28	pink
TTC9B	blue
TUBB2A	blue
TUBG1	pink
TUBG2	blue
TUBGCP2	blue
TUFM	blue
TUSC1	blue
TUSC2	blue
TUT1	blue
TUT4	blue
TWF2	blue
TWIST1	magenta
TWIST2	magenta
TXNIP	pink
TYK2	blue
TYSND1	blue
U2AF2	blue
UACA	pink
UBALD1	blue
UBE2I	blue
UBE2J2	blue
UBE2M	blue
UBE2V2	floralwhite
UBOX5	blue
UBR2	blue
UBTD1	blue
UBTF	blue
UBXN1	blue
UBXN11	blue
UBXN6	blue
UCKL1	blue
UCN	blue
UFSP1	blue
ULK1	blue
UNC119	blue
UNC5B	magenta
UNG	magenta
UPF1	blue
UQCC3	blue
UQCRB	floralwhite
UQCRC1	blue
UQCRQ	blue
URGCP	blue
USE1	blue
USF2	blue
USHBP1	pink
USP19	blue
USP49	blue
USP5	blue
VCAN	magenta
VDR	magenta
VEGFC	pink
VEGFD	pink
VGLL3	magenta
VILL	blue
VIP	pink
VIT	pink
VPS16	blue
VPS18	blue
VPS25	blue
VPS37D	blue
VPS51	blue
VRK3	blue
VSTM4	magenta
VWA1	blue
VWA5A	pink
VWF	pink
VXN	floralwhite
WASH6P	blue
WASHC3	blue
WDFY2	blue
WDR13	blue
WDR18	blue
WDR24	blue
WDR25	blue
WDR46	blue
WDR6	blue
WDR83	blue
WDR86	pink
WDR90	blue
WDTC1	blue
WFDC2	blue
WFIKKN1	blue
WIZ	blue
WLS	magenta
WNT2	magenta
WNT4	blue
WNT5A	magenta
WNT9B	pink
WRAP73	blue
WSCD1	pink
WTIP	magenta
WWC3	magenta
XAB2	blue
XG	magenta
XKR8	blue
XKR9	floralwhite
XRCC1	blue
XRCC3	blue
YAP1	magenta
YIF1B	blue
YIPF2	blue
YIPF3	blue
YJU2	blue
YPEL3	blue
YPEL4	pink
YWHAZ	floralwhite
ZBED1	magenta
ZBTB12	blue
ZBTB16	pink
ZBTB17	blue
ZBTB22	blue
ZBTB45	blue
ZBTB5	blue
ZBTB7A	blue
ZBTB7B	blue
ZC3H12B	pink
ZC3H4	blue
ZCCHC24	pink
ZCCHC3	blue
ZDHHC16	blue
ZDHHC24	blue
ZEB1	magenta
ZEB2	pink
ZFHX4	magenta
ZFP36	pink
ZFP36L1	magenta
ZFP92	magenta
ZFPL1	blue
ZFPM1	blue
ZFPM2	magenta
ZFYVE19	blue
ZFYVE21	blue
ZFYVE27	blue
ZFYVE28	blue
ZKSCAN7	pink
ZMAT2	blue
ZMAT3	magenta
ZMIZ2	blue
ZNF205	blue
ZNF212	blue
ZNF213	blue
ZNF215	blue
ZNF219	blue
ZNF282	blue
ZNF296	blue
ZNF316	blue
ZNF318	blue
ZNF341	blue
ZNF362	blue
ZNF365	magenta
ZNF366	pink
ZNF408	blue
ZNF414	blue
ZNF423	pink
ZNF428	blue
ZNF444	blue
ZNF446	blue
ZNF467	blue
ZNF48	blue
ZNF497	blue
ZNF500	blue
ZNF524	blue
ZNF526	blue
ZNF574	blue
ZNF575	blue
ZNF576	blue
ZNF579	blue
ZNF580	blue
ZNF581	blue
ZNF598	blue
ZNF608	pink
ZNF622	blue
ZNF628	blue
ZNF653	blue
ZNF660	pink
ZNF672	blue
ZNF688	blue
ZNF697	magenta
ZNF706	floralwhite
ZNF747	blue
ZNF764	blue
ZNF768	blue
ZNF771	blue
ZNF775	blue
ZNF777	blue
ZNF781	pink
ZNF784	blue
ZNF787	blue
ZNF830	blue
ZNF837	blue
ZNF843	pink
ZNF865	blue
ZNHIT1	blue
ZNHIT2	blue
ZRSR2	blue
ZSCAN1	blue
ZSWIM9	blue
