"MCODE::Clusters (1)","MCODE::Node Status (1)","MCODE::Score (1)","name","selected","shared name"
"Cluster 26","Clustered","3.8901098901098905","GTPBP3","false","GTPBP3"
,"Unclustered","3.555555555555556","GATB","false","GATB"
,"Unclustered","7.0","ATRIP","false","ATRIP"
"Cluster 6","Clustered","9.047619047619047","POLL","false","POLL"
,"Unclustered","8.0","ATP5IF1","false","ATP5IF1"
,"Unclustered","6.5054945054945055","QARS1","false","QARS1"
,"Unclustered","3.0","MON1A","false","MON1A"
"Cluster 6","Clustered","9.0","ARFGAP1","false","ARFGAP1"
,"Unclustered","3.466666666666667","E4F1","false","E4F1"
,"Unclustered","0.2857142857142857","ABCD4","false","ABCD4"
,"Unclustered","0.6666666666666666","CCDC51","false","CCDC51"
,"Unclustered","0.5","ABCB9","false","ABCB9"
,"Unclustered","1.8571428571428572","NADSYN1","false","NADSYN1"
"Cluster 19","Clustered","6.0","STOML1","false","STOML1"
,"Unclustered","2.0","ABCC4","false","ABCC4"
,"Unclustered","2.0","SLC19A1","false","SLC19A1"
"Cluster 19","Clustered","5.0","ITPA","false","ITPA"
"Cluster 32","Clustered","1.0666666666666667","SLC9A3R2","false","SLC9A3R2"
"Cluster 19","Clustered","4.933333333333334","PEX10","false","PEX10"
,"Unclustered","0.8571428571428571","INPPL1","false","INPPL1"
,"Unclustered","4.523809523809524","COASY","false","COASY"
,"Unclustered","2.0","MMAB","false","MMAB"
,"Unclustered","2.0","ABHD14B","false","ABHD14B"
,"Unclustered","2.0","ABHD8","false","ABHD8"
"Cluster 20","Clustered","3.0","ABHD17A","false","ABHD17A"
,"Unclustered","2.0","SCRN2","false","SCRN2"
"Cluster 12","Clustered","4.0","PNPLA6","false","PNPLA6"
"Cluster 20","Clustered","3.0","DAPK3","false","DAPK3"
,"Unclustered","1.2272727272727273","DLG4","false","DLG4"
,"Unclustered","2.0","ZDHHC24","false","ZDHHC24"
"Cluster 18","Clustered","4.0","CSNK1G2","false","CSNK1G2"
"Cluster 20","Clustered","3.0","ZDHHC16","false","ZDHHC16"
"Cluster 20","Clustered","3.0","LYPLA2","false","LYPLA2"
,"Unclustered","5.0","PPT2","false","PPT2"
"Cluster 20","Clustered","3.068840579710145","HRAS","false","HRAS"
,"Unclustered","0.5","OCEL1","false","OCEL1"
"Cluster 19","Clustered","5.333333333333333","ACSL1","false","ACSL1"
,"Unclustered","0.2857142857142857","FAM98C","false","FAM98C"
,"Unclustered","1.4","CCDC106","false","CCDC106"
,"Unclustered","0.6666666666666666","SPATA2L","false","SPATA2L"
"Cluster 1","Clustered","17.0","MRPL34","true","MRPL34"
"Cluster 20","Clustered","3.0","BABAM1","false","BABAM1"
,"Unclustered","0.6666666666666666","ABLIM1","false","ABLIM1"
,"Unclustered","2.0","NCLN","false","NCLN"
"Cluster 9","Clustered","6.0","CASK","false","CASK"
,"Unclustered","0.2857142857142857","ABTB1","false","ABTB1"
"Cluster 5","Clustered","7.2727272727272725","PARK7","false","PARK7"
,"Unclustered","0.3333333333333333","TMEM91","false","TMEM91"
,"Unclustered","0.6666666666666666","LRCOL1","false","LRCOL1"
,"Unclustered","0.4","CARD19","false","CARD19"
,"Unclustered","0.2857142857142857","DNTTIP1","false","DNTTIP1"
"Cluster 6","Clustered","9.0","YPEL3","false","YPEL3"
"Cluster 19","Clustered","5.7272727272727275","ACAA1","false","ACAA1"
"Cluster 7","Clustered","6.805555555555555","OXCT1","false","OXCT1"
,"Unclustered","4.690909090909091","ACOT8","false","ACOT8"
,"Unclustered","4.690909090909091","DECR2","false","DECR2"
,"Unclustered","4.761904761904762","PEX11G","false","PEX11G"
,"Unclustered","4.761904761904762","PEX16","false","PEX16"
"Cluster 19","Clustered","5.7272727272727275","ACADS","false","ACADS"
"Cluster 1","Clustered","14.0","NDUFA10","true","NDUFA10"
"Cluster 19","Clustered","6.0","TYSND1","false","TYSND1"
,"Unclustered","2.7","ALDH16A1","false","ALDH16A1"
,"Unclustered","3.573684210526316","ECI1","false","ECI1"
"Cluster 19","Clustered","5.571428571428571","PEX6","false","PEX6"
"Cluster 6","Clustered","9.333333333333332","NDUFS8","false","NDUFS8"
"Cluster 7","Clustered","6.805555555555555","ACSS1","false","ACSS1"
,"Unclustered","4.0","DHRS4","false","DHRS4"
,"Unclustered","0.5","DHRS1","false","DHRS1"
"Cluster 7","Clustered","7.0","PC","false","PC"
"Cluster 1","Clustered","14.0","NDUFV1","true","NDUFV1"
"Cluster 1","Clustered","14.0","SDHB","true","SDHB"
,"Unclustered","4.761904761904762","ACOXL","false","ACOXL"
,"Unclustered","2.1999999999999997","ACBD4","false","ACBD4"
,"Unclustered","2.1333333333333333","HSD17B8","false","HSD17B8"
"Cluster 7","Clustered","6.805555555555555","GCDH","false","GCDH"
"Cluster 19","Clustered","4.933333333333334","PEX14","false","PEX14"
"Cluster 7","Clustered","6.805555555555555","HMGCL","false","HMGCL"
"Cluster 7","Seed","7.712418300653595","ECHS1","false","ECHS1"
"Cluster 17","Clustered","3.0","SARDH","false","SARDH"
"Cluster 26","Clustered","3.8901098901098905","BCAT2","false","BCAT2"
,"Unclustered","2.1818181818181817","SCAF1","false","SCAF1"
,"Unclustered","4.761904761904762","SIRT3","false","SIRT3"
,"Unclustered","4.153846153846153","GPKOW","false","GPKOW"
,"Unclustered","0.5","SNX21","false","SNX21"
"Cluster 19","Clustered","5.0","PLIN3","false","PLIN3"
"Cluster 19","Clustered","5.0","SMARCD3","false","SMARCD3"
,"Unclustered","2.0","SLC27A3","false","SLC27A3"
"Cluster 14","Clustered","3.0","PLPP2","false","PLPP2"
,"Unclustered","0.7857142857142857","PNPLA2","false","PNPLA2"
,"Unclustered","2.142857142857143","BDH1","false","BDH1"
"Cluster 19","Clustered","4.933333333333334","BCAT1","false","BCAT1"
,"Unclustered","3.466666666666667","PCK2","false","PCK2"
,"Unclustered","4.107142857142857","SETD1A","false","SETD1A"
"Cluster 24","Clustered","6.0","SIRT6","false","SIRT6"
"Cluster 6","Clustered","9.0","ACTR1A","false","ACTR1A"
,"Unclustered","4.7368421052631575","KIF22","false","KIF22"
,"Unclustered","3.0","AKR7A2","false","AKR7A2"
,"Unclustered","1.645021645021645","UBE2M","false","UBE2M"
"Cluster 6","Clustered","9.0","KLC4","false","KLC4"
"Cluster 6","Clustered","9.0","CAPZA1","false","CAPZA1"
,"Unclustered","3.0","ACTR3","false","ACTR3"
"Cluster 6","Clustered","9.0","ARFGAP3","false","ARFGAP3"
,"Unclustered","5.0","TMEM115","false","TMEM115"
