"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0001706","GO:0001706","endoderm formation","13/445","57/18614",6.58577745509605e-10,9.50791130369052e-08,7.4715837794657e-08,"1301/1303/1289/1290/1291/1294/1295/2335/3624/3678/3912/4323/4313",13
"GO:0014706","GO:0014706","striated muscle tissue development","26/445","259/18614",7.53298136422154e-10,1.02694069784794e-07,8.06998847111203e-08,"57538/1301/1909/2702/26585/84525/4015/4634/50507/3084/5156/5159/5350/5999/861/6444/4092/9096/6910/26011/7168/7291/7472/7474/10413/23414",26
"GO:0071772","GO:0071772","response to BMP","22/445","187/18614",7.90359695624375e-10,1.02694069784794e-07,8.06998847111203e-08,"81792/11173/3491/1311/2200/10468/11167/392255/26585/26508/5654/94031/3624/4681/860/6423/6424/4092/23213/7043/7130/7474",22
"GO:0071773","GO:0071773","cellular response to BMP stimulus","22/445","187/18614",7.90359695624375e-10,1.02694069784794e-07,8.06998847111203e-08,"81792/11173/3491/1311/2200/10468/11167/392255/26585/26508/5654/94031/3624/4681/860/6423/6424/4092/23213/7043/7130/7474",22
"GO:0007492","GO:0007492","endoderm development","15/445","83/18614",1.03650845742509e-09,1.26978933674482e-07,9.9783612916946e-08,"100506013/1301/1303/1289/1290/1291/1294/1295/2335/3624/3678/3912/4323/4313/677",15
"GO:1903053","GO:1903053","regulation of extracellular matrix organization","13/445","59/18614",1.0424130009193e-09,1.26978933674482e-07,9.9783612916946e-08,"165/84168/4921/30008/11117/2191/3690/3912/4035/4811/10630/23187/861",13
"GO:0001704","GO:0001704","formation of primary germ layer","18/445","127/18614",1.37557638109113e-09,1.62484749499794e-07,1.27685080350086e-07,"100506013/1301/1303/1289/1290/1291/1294/1295/2335/3624/3678/3690/3912/4323/4313/6423/79971/7474",18
"GO:0016055","GO:0016055","Wnt signaling pathway","35/445","461/18614",1.8445985203576e-09,2.0660952427024e-07,1.62359567828684e-07,"25960/51421/80114/8840/1277/115908/1601/51339/147906/27122/1909/10979/10082/26585/3090/4035/4286/4811/85409/166336/8434/4920/6299/6423/6424/387914/388336/23213/55959/9096/7041/79971/7472/7474/10413",35
"GO:0001822","GO:0001822","kidney development","28/445","310/18614",1.85513939185695e-09,2.0660952427024e-07,1.62359567828684e-07,"59/170690/11174/285/80114/1592/1909/2028/2200/2246/392255/84662/26585/26508/3690/25959/55083/4811/5156/5159/6299/5176/4092/23213/55959/25789/7474/10413",28
"GO:0198738","GO:0198738","cell-cell signaling by wnt","35/445","463/18614",2.06620349024825e-09,2.23723922360769e-07,1.75808542591299e-07,"25960/51421/80114/8840/1277/115908/1601/51339/147906/27122/1909/10979/10082/26585/3090/4035/4286/4811/85409/166336/8434/4920/6299/6423/6424/387914/388336/23213/55959/9096/7041/79971/7472/7474/10413",35
"GO:0060537","GO:0060537","muscle tissue development","33/445","426/18614",3.30819892855754e-09,3.4852322766263e-07,2.73879342307324e-07,"57538/1134/8506/1301/1281/1909/30008/2006/2702/26585/26508/84525/4015/4634/50507/3084/5156/5159/5350/5999/861/6444/4092/9096/6910/26011/7093/7168/7291/7472/7474/10413/23414",33
"GO:0032330","GO:0032330","regulation of chondrocyte differentiation","12/445","54/18614",4.15552368628888e-09,4.26269245504054e-07,3.34974347011098e-07,"81792/11173/1490/8840/8817/392255/26585/4017/579/5593/860/4092",12
"GO:0048738","GO:0048738","cardiac muscle tissue development","24/445","243/18614",4.73653213497457e-09,4.68600338528271e-07,3.68239308989028e-07,"57538/1301/1909/2702/26585/84525/4634/50507/3084/5156/5159/5350/5999/861/6444/4092/9096/6910/26011/7168/7472/7474/10413/23414",24
"GO:0042692","GO:0042692","muscle cell differentiation","32/445","410/18614",4.80862327889452e-09,4.68600338528271e-07,3.68239308989028e-07,"8038/57538/8506/1311/1909/30008/30846/2318/26585/84525/3912/25802/4015/4323/4627/10398/4811/50507/3084/5156/5159/84814/93166/5738/5999/6444/9096/6910/338773/79652/7168/6935",32
